SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-700,2.7,nF,100V,5%,ARCOTRONICS,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/2-7nf-0-0027uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-414,3.3,nF,100V,5%,ARCOTRONICS,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/3-3nf-0-0033uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-1546,3.3,nF,100V,5%,WIMA,Radial,th,0.24,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-fks2-330nf-0-0033uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-983,3.9,nF,100V,5%,JB Capacitors,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/3-9nf-0-0039uf-100v-5-jfj-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-420,3.9,nF,100V,5%,ARCOTRONICS,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/3-9nf-0-0039uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-413,4.7,nF,100V,5%,ARCOTRONICS,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/4-7nf-0-0047uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-1789,4.7,nF,100V,5%,WIMA,Radial,th,0.39,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-fks2-4-7-nf-0-0047uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4848,4700.0,pF,100V,5%,NISSEI,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/4700-pf-100v-5-polyester-film-box-type-capacitor-nissel.html,Polyester (Mylar) Capacitors
A-1177,4.7,nF,100V,5%,JB Capacitors,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-0047uf-100v-5-jfj-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7203,4.7,nF,1000V,5%,ARCOTRONICS/KEMET,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/4-7nf-0-0047uf-1000v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7077,4.7,nF,1600V,5%,FARATRONIC,Radial,th,0.20,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/4-7-nf-1600v-5-polyester-film-foil-capacitor.html,Polyester (Mylar) Capacitors
A-423,5.6,nF,100V,5%,ARCOTRONICS,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/5-6nf-0-0056uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-421,6.8,nF,100V,5%,ARCOTRONICS,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/6-8nf-0-0068uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7071,6.8,nF,1600V,5%,FARATRONIC,Radial,th,0.24,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/6-8nf-1600v-5-double-side-polyester-film-box-type-capacitor-faratronic.html,Polyester (Mylar) Capacitors
